商品id,标题,价格,店铺,品牌,图片
10099651814840,华为 Mate 60 Pro 全网通 【信用购】卡归属成都 绵阳区域 白沙银 原价6099（12GB+512GB） 新开卡熊猫合约月租129元（优惠2660元）,3439.00,四川电信运营商专营店,华为（HUAWEI）,//img10.360buyimg.com/n7/jfs/t1/247998/17/11801/88169/666d4b39F2fb3b099/0f704065b1042ed4.jpg
100148810806,华为 nova 13 Pro 256GB 星耀黑 前后多焦段人像 AI修图 北斗卫星图片消息 鸿蒙智能曲面屏,3649.00,华为京东自营官方旗舰店,华为（HUAWEI）,//img11.360buyimg.com/n7/jfs/t1/101588/34/52893/42815/6723522cFaaa7a66e/ee30761f6e6d0d58.jpg
10103928309103,华为70pro2024新机上市【免息】24期白条 5G新品 hi畅享系列 曜金黑8+256GB 官方标配【赠2年延保+365天碎屏险】,1499.00,启航手机专营店,华为（HUAWEI）,//img13.360buyimg.com/n7/jfs/t1/245801/30/21110/101716/6714a015F7bc3c662/841303a7bc213e08.jpg
10097671235289,		 华为P40 华为P40pro 华为p40二手 p40pro二手 二手华为  二手游戏  5G  P40 亮黑色（5G版） 95新 8+128G（赠送购机大礼包）,849.00,新友二手手机专营店,华为（HUAWEI）,//img14.360buyimg.com/n7/jfs/t1/226435/4/27230/87859/66fa5d97Ff5bbc6d8/7d0c3dfeeff83469.jpg
10109161423617,华为mate60 pro链接选购 新品5G  x50 超高清 一亿像素 双曲屏 海量双存 巨量电池+疾速快充 【12+512GB】典雅黑 礼包套餐版,2198.00,金鑫垚手机专营店,华为（HUAWEI）,//img12.360buyimg.com/n7/jfs/t1/236667/26/27170/71771/671363b7F8655d396/6fb4d88a4cda1fc8.jpg
10094724296747,		 华为nova7 华为nova7pro 华为nova7se 二手华为  华为5G  二手游戏  【nova7 SE 标准版】颜色随机发 95新 8G+128G （送购机大礼包）,479.00,新友二手手机专营店,华为（HUAWEI）,//img12.360buyimg.com/n7/jfs/t1/151754/27/43096/103800/66626b77Ffbca31b1/fec463e0da80adcf.jpg
10093941685050,华为 华为mate60pro 链接选购】 可选24期【分期】 现货速发 新品X50 5G  曲面屏 屏幕指纹 【雨后初晴】5G曲面屏 8GB+128GB,1499.00,长天手机专营店,华为（HUAWEI）,//img10.360buyimg.com/n7/jfs/t1/231818/36/8990/56812/657fc08cF905613b3/e9ff257dd921f9ee.jpg
10118827870014,华为novaFlip翻盖小折叠屏【24期|免息】 6.88mm轻薄鸿蒙女士 零度白256G 官方标配,4888.00,好机汇手机旗舰店,华为（HUAWEI）,//img14.360buyimg.com/n7/jfs/t1/166210/31/44395/88001/66fa1e1fFe938b8a3/f66c018335f41929.jpg
10118720761628,华为智选 mate 40 5G  全网通 旗舰性能 6400万超感知影像 支持NFC 无线充电 鼎桥M40 亮黑色 8G+128G,1698.00,京之优选手机店,华为（HUAWEI）,//img13.360buyimg.com/n7/jfs/t1/240451/10/19100/48223/66f8ff20Fabeb22e6/d3a2610d04bd35a3.jpg
10119386341073,HUAWEIHUAWEI畅享70 Pro 鸿蒙生态 超长待机智能  国行激活 雪域白 8+128,997.00,百汇臻品数码小店,华为（HUAWEI）,//img13.360buyimg.com/n7/jfs/t1/243606/7/20293/28005/67016370F85d178e7/63ae55ddce414b82.jpg
10119383643128,HUAWEIHUAWEI畅享70 Pro 鸿蒙生态 超长待机智能  国行激活 翡冷翠 8+256,1186.00,双立万利数码小店,华为（HUAWEI）,//img13.360buyimg.com/n7/jfs/t1/173870/5/46166/67725/670159f3F1089bb57/e1554f0f1dc00cc5.jpg
10118495121049,		 华为nova7 华为nova7pro 华为nova7se 二手华为  华为5G  二手游戏  nova7 SE 幻夜黑 8GB+128GB 9成新,474.00,桦翰二手手机专营店,华为（HUAWEI）,//img14.360buyimg.com/n7/jfs/t1/104634/35/53525/93834/6711fc96F12323fcb/f6c3f9f5a118a962.jpg
10110590612923,华为畅享 70 Pro   1亿像素超清影像40W超级快充5000mAh大电池长续航 雪域白 8GB+128GB全网通,1189.00,京鸿手机专营店,华为（HUAWEI）,//img13.360buyimg.com/n7/jfs/t1/302/39/22130/48218/66a0728dF22c5898c/cb07db18affa52c7.jpg
10117387687722,华为 华为mate60pro选购链接】 5G旗舰 X50GT十面抗摔1亿像素1.5K高清护眼屏 巨量大电池 幻夜黑【16GB+512GB】 官方标配丨蓝牙套装版,2899.00,京团手机专营店,华为（HUAWEI）,//img12.360buyimg.com/n7/jfs/t1/95127/34/51187/76266/66eebb26F988411ff/5cdd124714d40405.jpg
10095680705999,		 华为智选5G  Hi畅享70 Pro【24期免息】鸿蒙智能生态系统老年学生  非 华为  曜金黑 8GB+256GB,1229.00,京联数科旗舰店,华为（HUAWEI）,//img14.360buyimg.com/n7/jfs/t1/165242/6/50545/82574/67219e11F3943dd4f/a2b76e9f21759698.jpg
100116424210,华为畅享 70S 6.75英寸AOD护眼大屏 畅享X键常用功能一步直达8GB+128GB曜金黑 鸿蒙智能,960.00,华为京东自营官方旗舰店,华为（HUAWEI）,//img10.360buyimg.com/n7/jfs/t1/149716/40/44884/46556/67219e64F8d342a90/374624c359c67ea7.jpg
10096433823554,Hi nova  现货当天发 【华为Mate50 Pro】 选购X50 5G曲屏快充游戏旗舰 华为 链接选购 X50-燃橙色 8+128GB,1389.00,壹方城手机专营店,华为（HUAWEI）,//img14.360buyimg.com/n7/jfs/t1/102820/27/45937/114098/65bccff9Fdd4c2f8e/9cff00aa343ec01c.jpg
100057767197,华为 畅享 60X 7000mAh长续航 6.95英寸大屏 256GB 曜金黑 鸿蒙智能 【赠话费券】,1219.00,京东手机自营旗舰店,华为（HUAWEI）,//img12.360buyimg.com/n7/jfs/t1/163152/4/34557/64364/6723468aF31ca3a78/4280c204dfa911f8.jpg
10115935060773,华为Pura70 新品 【当日发货 24期|免息】 鸿蒙系统 2024上市 超高速风驰闪拍华为p70智能  冰晶蓝 【12GB+256GB】 官方标配,4449.00,超想购手机旗舰店,华为（HUAWEI）,//img13.360buyimg.com/n7/jfs/t1/248191/8/22241/98033/6722ec04Fdfde5192/e3874d88843cf327.jpg
10107974572533,华为mate60pro p60pro店内有售 可选 X50 5G  店内有售 华为,2328.00,京采手机数码店,华为（HUAWEI）,//img13.360buyimg.com/n7/jfs/t1/58391/24/27215/89795/66c9e761Fea3818f2/752f9013bdb50141.png
10101671798690,		 华为 Mate60 /Mate 60 Pro二手  双向北斗卫星消息 全焦段超清影像 华为旗舰  【Mate60】雅川青 12GB+512GB【严选高电池效率】 99新 标配,3925.00,缤纷四海二手手机专营店,华为（HUAWEI）,//img10.360buyimg.com/n7/jfs/t1/220035/30/46133/81406/67234b6cFf9e2727e/007e2a7174a05cf2.jpg
10109116603566,		 华为畅享 70 Pro 1亿像素超清影像5000mAh超长续航 pro 雪域白 畅享70 8GB+256GB-99新,1159.00,深圳华晟数码店,华为（HUAWEI）,//img11.360buyimg.com/n7/jfs/t1/168556/27/49657/63054/67191f6cF28eae98b/1582faa7478efb7a.jpg
10078439605328,		 华为 HUAWEI 畅享10e/畅享10 6.3英寸大屏幕1300万像素后置双摄 二手  【畅享10E】幻夜黑 4G+64G 9成新,198.00,禹凡优品二手手机专营店,华为（HUAWEI）,//img13.360buyimg.com/n7/jfs/t1/205505/23/44375/99532/6717500fFd2209c2c/7e4b802c53e1001f.jpg
10091315333189,Hi nova 现货当天发 【华为Mate50 Pro】 选购X50 5G曲屏快充游戏旗舰 华为 链接选购 燃橙色 8+128GB-x50 官方配置,1389.00,泰昌手机专营店,华为（HUAWEI）,//img14.360buyimg.com/n7/jfs/t1/248202/32/22228/123469/671dd0cbF342ed215/af10288f0af8104e.jpg
10111719973117,Hi nova  x60i 华为智选  新品5G  高亮OLED护眼大屏 防水防摔 灵动岛 直屏  5000mAh大容量电池 12+256GB 幻夜黑,1679.00,科格锐手机专营店,华为（HUAWEI）,//img12.360buyimg.com/n7/jfs/t1/2837/16/23009/159017/66be2b41F43f8c508/5f34ffb71e7521c0.jpg
10115224926788,华为智选hinova12se【24期|免息】5G 官方全新原装正品新机2024上市1亿像素66W快充 曜金黑256GB 官方标配,1669.00,好机汇手机旗舰店,华为（HUAWEI）,//img13.360buyimg.com/n7/jfs/t1/84212/16/26830/76131/66a1fab2F71ff6504/89025b165daf586d.jpg
10097492121055,华为 华为mate60 pro进店选购 24期 免息60x 新品 畅享 鸿蒙系统512G大内存6.95英寸屏NFC 【丹霞橙】512GB 官方标配,2199.00,酷彼手机专营店,华为（HUAWEI）,//img10.360buyimg.com/n7/jfs/t1/239209/29/3120/112873/65a0ddcaF72745896/ac0abddfeb26e4b3.png
10103085755990,Hi nova【24期免息可选】畅玩20 6.5英寸大屏 双卡双待 全网通 钛空银 4GB+64GB 全网通,599.00,日雅手机专营店,华为（HUAWEI）,//img10.360buyimg.com/n7/jfs/t1/249265/4/9163/51395/66487903F2e28ba1f/dc35421cc891d638.jpg
10119988041153,华为Mate 60【当日发货 24期免息】2024新款 新品旗舰  卫星通话NFC全焦段超清影像 旗舰鸿蒙智能手 白沙银【12GB+256GB】 官方标配+赠送礼包,4399.00,金邦特手机旗舰店,华为（HUAWEI）,//img13.360buyimg.com/n7/jfs/t1/227349/34/28382/115064/6721e371F91d319c8/9101a510b39ac3df.jpg
10111760957993,Hi nova  现货当天发 【华为Mate50 Pro】 选购X50 5G曲屏快充游戏旗舰 华为 链接选购 x50-勃朗蓝 8+128GB,1388.00,嘉音美尔手机专营店,华为（HUAWEI）,//img13.360buyimg.com/n7/jfs/t1/133194/18/48227/116914/6719eeadFf24d16e9/05aa471a901f26b4.jpg
10108208044890,华为mate60pro链接选购 可选24期【分期】 现货速发 新品X50 5G  曲面屏 屏幕指纹 8+128GB 雨后初晴 【官方标配】,1499.00,旭达升手机专营店,华为（HUAWEI）,//img10.360buyimg.com/n7/jfs/t1/242700/28/8586/70316/6682525aFc4a6fb53/8fcf9d1bcacee741.jpg
100065092578,华为（HUAWEI） Mate 60 Pro雅丹黑12GB+1TB 卫星通话超可靠玄武架构全焦段超清影像旗舰鸿蒙智能 |华为大额券,6699.00,华为京东自营官方旗舰店,华为（HUAWEI）,//img13.360buyimg.com/n7/jfs/t1/149659/15/43465/52137/67219a05F3c9368b9/8882094fc5802cac.jpg
100082431996,华为nova 12活力版 6.88mm超薄潮美直屏前置6000万超广角拍照 256GB 曜金黑 鸿蒙智能 |华为大额券,1949.00,华为京东自营官方旗舰店,华为（HUAWEI）,//img11.360buyimg.com/n7/jfs/t1/238650/38/19950/40840/67219e77Fe3519491/717e2789dc0f2e31.jpg
10113274700438,华为 华为mate60 pro店里选购】 24期 免息60x 新品 畅享 鸿蒙系统512G大内存6.95英寸屏NFC 【鎏金黑】512GB 12期白条 免息,2399.00,酷彼手机专营店,华为（HUAWEI）,//img13.360buyimg.com/n7/jfs/t1/149555/24/37618/108781/65a0ddbdFedbf0470/9f18278899a9688e.png
10116846870939,华为（HUAWEI）Mate30Pro 华为5G智能mate30麒麟990处理器鸿蒙人脸  99新 Mate30Pro 翡冷翠【国产屏】 8GB+128GB 【95新】4G版,581.92,飞斯手机数码店,华为（HUAWEI）,//img14.360buyimg.com/n7/jfs/t1/237503/28/26498/141226/66ffe7a7F2cc48f04/791d48ab53f2bc78.jpg
10109193382132,华为 华为mate60pro 链接选购】新品5G x50超高清一亿像素 奢华双曲屏 海量双存 巨量电池+疾速快充 典雅黑12+512GB 官方标配 蓝牙耳机套装版,2268.00,京购优品数码店,华为（HUAWEI）,//img12.360buyimg.com/n7/jfs/t1/25325/40/22592/89795/66c9f0b0Fae4ad740/d0e994023ad18256.png
10117304760108,华为 华为mate60pro 链接选购】可选24期【分期】 现货速发 新品X50 5G  曲面屏 屏幕指纹 12+512GB 雨后初晴 【官方标配】,2188.00,宏利和手机专营店,华为（HUAWEI）,//img13.360buyimg.com/n7/jfs/t1/8896/24/24842/70316/669e091bFba22d066/ecd2962d2f5ffbf7.jpg
